cluster_id,n_suppliers,median_awards_per_year,median_contract_value,median_buyer_countries,median_cross_border,median_hhi_cpv,median_years_active,pct_consortium
1,65804,1,1,1,0,1,1,10.3
2,68069,4,180132.78,1,0,0.972,4,2.3
3,588721,1,198000,1,0,1,1,0
4,24624,1,335026.06,1,1,1,1,2.7
5,148102,1,364573.36,1,0,1,1,100
