cluster_id,n_suppliers,avg_awards_per_year,avg_contract_value_weighted,avg_buyer_countries_weighted,avg_cross_border_weighted,avg_hhi_cpv_weighted,avg_years_active,pct_consortium
1,81215,7.09,154304016.36,1.01,0.004,0.954,3.62,3.1
2,557059,1.29,359169571.39,1,0,0.999,1.22,0
3,28504,4.81,361879829.91,1.06,0.018,0.593,2.63,1.1
4,146322,1.23,28554464.55,1,0,1,1.07,100
5,22337,1.44,54708713.66,1.05,0.947,0.988,1.39,2.9
