cluster_id,n_suppliers,median_awards_per_year,median_contract_value,median_buyer_countries,median_cross_border,median_hhi_cpv,median_years_active,pct_consortium,provisional_label,interpretation_note
1,65804,1,1,1,0,1,1,10.3,anomalous low-value suppliers,Likely influenced by data-quality issues in TED contract values.
2,68069,4,180132.78,1,0,0.972,4,2.3,"higher-volume, sector-diversified suppliers",More active suppliers whose award activity spans more than one CPV division.
3,588721,1,198000,1,0,1,1,0,mono-sector suppliers,"Primarily domestic, with all award activity concentrated in a single CPV division."
4,24624,1,335026.06,1,1,1,1,2.7,"cross-border, single-market suppliers",Award activity is cross-border but still concentrated on a single buyer country.
5,148102,1,364573.36,1,0,1,1,100,mono-sector consortium suppliers,"Primarily domestic, all award activity concentrated in a single CPV division, and consortium-heavy."
