cluster_id,n_suppliers,median_awards_per_year,median_contract_value,median_buyer_countries,median_cross_border,median_hhi_cpv,median_years_active,pct_consortium
1,81215,3,129097.16,1,0,1,4,3.1
2,557059,1,195007.8,1,0,1,1,0
3,28504,3,303578.93,1,0,0.574,2,1.1
4,146322,1,376546.52,1,0,1,1,100
5,22337,1,393800,1,1,1,1,2.9
