"part","term","statistic","Awards Count (1) Year FE","Awards Count (2) Baseline FE","Awards Count (2m) Baseline FE Matched Sample","Awards Count (3) + Price Criterion","Awards Count (4) + Procedure FE","Total Value (1) Year FE","Total Value (2) Baseline FE","Total Value (2m) Baseline FE Matched Sample","Total Value (3) + Price Criterion","Total Value (4) + Procedure FE"
"estimates","Buyer diversification","estimate","0.248***","0.245***","0.243***","0.243***","0.243***","0.318***","0.338***","0.328***","0.329***","0.330***"
"estimates","Buyer diversification","std.error","(0.011)","(0.011)","(0.011)","(0.011)","(0.011)","(0.017)","(0.018)","(0.018)","(0.018)","(0.018)"
"estimates","Buyer-country diversification","estimate","0.018***","0.020***","0.020***","0.020***","0.020***","0.114***","0.105***","0.102***","0.102***","0.101***"
"estimates","Buyer-country diversification","std.error","(0.001)","(0.001)","(0.001)","(0.001)","(0.001)","(0.004)","(0.004)","(0.004)","(0.004)","(0.004)"
"estimates","Cross-border share","estimate","-0.016***","-0.015***","-0.015***","-0.015***","-0.013***","0.087***","0.051***","0.039***","0.040***","0.030***"
"estimates","Cross-border share","std.error","(0.000)","(0.000)","(0.000)","(0.000)","(0.000)","(0.004)","(0.005)","(0.005)","(0.005)","(0.005)"
"estimates","Sector concentration (HHI)","estimate","-0.096***","-0.096***","-0.094***","-0.094***","-0.094***","-0.412***","-0.369***","-0.369***","-0.367***","-0.362***"
"estimates","Sector concentration (HHI)","std.error","(0.001)","(0.001)","(0.001)","(0.001)","(0.001)","(0.004)","(0.004)","(0.003)","(0.003)","(0.003)"
"estimates","Years active","estimate","0.192***","0.189***","0.192***","0.192***","0.191***","0.294***","0.389***","0.413***","0.417***","0.419***"
"estimates","Years active","std.error","(0.002)","(0.002)","(0.002)","(0.002)","(0.002)","(0.006)","(0.006)","(0.006)","(0.006)","(0.006)"
"estimates","Consortium","estimate","-0.016***","-0.055***","-0.060***","-0.059***","-0.064***","0.864***","0.781***","0.808***","0.796***","0.774***"
"estimates","Consortium","std.error","(0.001)","(0.001)","(0.001)","(0.001)","(0.001)","(0.011)","(0.010)","(0.010)","(0.010)","(0.010)"
"estimates","Price criterion share","estimate","","","","0.011***","0.014***","","","","-0.222***","-0.198***"
"estimates","Price criterion share","std.error","","","","(0.001)","(0.001)","","","","(0.004)","(0.004)"
"gof","N","","1328987","1328955","1238138","1238138","1238138","1306143","1306113","1226019","1226019","1226019"
"gof","Adj. R2","","0.458","0.473","0.480","0.481","0.483","0.042","0.152","0.149","0.151","0.155"
"gof","Within R2","","0.458","0.456","0.464","0.464","0.465","0.042","0.049","0.054","0.057","0.056"
"gof","RMSE","","0.430","0.424","0.429","0.429","0.428","3.701","3.482","3.407","3.402","3.395"
