cluster_robust_k4,log_median_awards_per_year,log_median_contract_value,median_buyer_countries,median_cross_border_share,median_hhi_cpv,years_active,supplier_is_consortium
1,1.878370786097588,-0.07217812897023301,0.14650460316458724,-0.15095770025891836,-1.8960904725572065,2.068718884477675,-0.4048415391142857
2,-0.16136677622572043,-0.06275419390425832,-0.045642828230464984,-0.16667892111822824,0.1902031587055744,-0.16126845905953568,-0.4674194256930598
3,-0.26842803590312775,0.23089983734266284,-0.048414523866135574,-0.1674893548002832,0.1882989593485855,-0.38042229923714727,2.1394036021086476
4,-0.15661643455697696,0.36606465549272144,1.0158074106594124,5.854465458560724,-0.014806815288950044,-0.05184732832189433,-0.39405497174232856
