k,tot_withinss,mean_silhouette_avg,sd_silhouette,min_silhouette,max_silhouette,reps,retries_used,avg_kmeans_attempts,silhouette_rank,elbow_rank
2,5236423.745553926,0.571015735701729,0.0636580584888309,0.5284341881724707,0.6441954029608002,3,0,1,1,7
3,4344091.103672236,0.42901114521239286,0.01680576012545096,0.40960857171889464,0.4390102234402947,3,0,1,7,6
4,3494039.8614888224,0.45448024869623616,0.0066523653407467576,0.44855471790933965,0.46167621952964655,3,0,1,6,5
5,3016800.9293019627,0.4862181941694427,0.003228210564974539,0.4829411825836076,0.4893952836459927,3,0,1,5,4
6,2449056.882417571,0.5084631476075862,0.018328723373886517,0.49364853414429677,0.5289600502637217,3,0,1,4,3
7,1815124.813983636,0.5388121283000311,0.006198927620265525,0.5351812496853648,0.5459697810068327,3,0,1,3,2
8,1772004.5389614159,0.5502208238226656,0.004305531394340571,0.5465840812173038,0.5549748684730492,3,0,1,2,1
