cluster_robust,log_median_awards_per_year,log_median_contract_value,median_buyer_countries,median_cross_border_share,median_hhi_cpv,years_active,supplier_is_consortium
1,1.636746394460167,-0.23203478504804953,0.019631962972684023,-0.15753760062535105,0.07522268918644139,2.060935929352043,-0.386725550275732
2,-0.22841969864369335,-0.0538109609995109,-0.04538362041421604,-0.16693993040937571,0.18905013923025196,-0.24997669456486768,-0.4674194256945354
3,1.4145639898446454,0.2015942144009426,0.6603650207841303,-0.06902691568484717,-4.95599121091276,1.1050801241873278,-0.4382453958760361
4,-0.284206908016586,0.2398255822931919,-0.048414523866135935,-0.16748857285916396,0.18823616754985528,-0.3932339775563267,2.1394036021086498
5,-0.19788325611758414,0.357370499687545,0.534897691735226,5.921323950931653,0.10302138855263158,-0.09345775174039467,-0.3922618830540122
