variable,log_awards_count,log_total_value,z_distinct_buyers,z_distinct_buyer_countries,z_cross_border_share,z_hhi_cpv,z_years_active,z_price_criteria_share,is_consortium
log_awards_count,1,0.203589026072445,0.550779701766418,0.12363206010187355,-0.031794379455015474,-0.33977333320271264,0.5053810931054433,0.07576333118338216,-0.11723113823059743
log_total_value,0.203589026072445,1,0.12928175345857637,0.06633276663446357,0.018930720451197824,-0.15349615217543844,0.1329568545543498,-0.11360893351002097,0.041380430109962105
z_distinct_buyers,0.550779701766418,0.12928175345857637,1,0.08445212672392347,-0.011580761333558263,-0.16685349300145091,0.2711491994243212,0.028033515952907765,-0.04233288854091744
z_distinct_buyer_countries,0.12363206010187355,0.06633276663446357,0.08445212672392347,1,0.1660736365982301,-0.1422003919228856,0.1143133253012751,3.653426951041075e-4,-0.028732511015298338
z_cross_border_share,-0.031794379455015474,0.018930720451197824,-0.011580761333558263,0.1660736365982301,1,-0.00212872900924566,-0.016828730896585327,0.002531450764005703,-0.05532105151375251
z_hhi_cpv,-0.33977333320271264,-0.15349615217543844,-0.16685349300145091,-0.1422003919228856,-0.00212872900924566,1,-0.30061135702029645,-0.00859349496921233,0.10090557593416409
z_years_active,0.5053810931054433,0.1329568545543498,0.2711491994243212,0.1143133253012751,-0.016828730896585327,-0.30061135702029645,1,0.07042824916102718,-0.21871910369222125
z_price_criteria_share,0.07576333118338216,-0.11360893351002097,0.028033515952907765,3.653426951041075e-4,0.002531450764005703,-0.00859349496921233,0.07042824916102718,1,-0.02790579356656168
is_consortium,-0.11723113823059743,0.041380430109962105,-0.04233288854091744,-0.028732511015298338,-0.05532105151375251,0.10090557593416409,-0.21871910369222125,-0.02790579356656168,1
